parcode,trial,fix_item,fix_time
mar,90,1,230.000000
mar,91,3,488.000000
mar,91,0,342.000000
mar,91,2,100.000000
mar,91,0,1708.000000
mar,91,1,152.000000
mar,91,0,598.000000
mar,92,3,730.000000
mar,92,0,200.000000
mar,92,1,160.000000
mar,92,0,76.000000
mar,92,2,142.000000
mar,92,0,522.000000
mar,92,1,688.000000
mar,92,0,320.000000
mar,93,3,836.000000
mar,93,0,58.000000
mar,93,1,254.000000
mar,93,0,76.000000
mar,93,2,102.000000
mar,93,0,606.000000
mar,93,1,1182.000000
mar,94,3,664.000000
mar,94,0,44.000000
mar,94,1,276.000000
mar,94,0,74.000000
mar,94,2,122.000000
mar,94,0,644.000000
mar,94,1,104.000000
mar,95,3,500.000000
mar,95,0,48.000000
mar,95,1,346.000000
mar,95,0,848.000000
mar,96,3,378.000000
mar,96,0,50.000000
mar,96,1,2310.000000
mar,96,0,1376.000000
mar,97,3,678.000000
mar,97,0,46.000000
mar,97,1,2896.000000
mar,98,3,710.000000
mar,98,0,48.000000
mar,98,1,1130.000000
mar,99,3,700.000000
mar,99,0,174.000000
mar,99,1,194.000000
mar,99,0,78.000000
mar,99,2,138.000000
mar,99,0,336.000000
mar,99,1,76.000000
mar,100,3,686.000000
mar,100,0,304.000000
mar,100,2,298.000000
mar,100,0,78.000000
mar,100,1,386.000000
mar,100,0,476.000000
mar,101,3,880.000000
mar,101,0,50.000000
mar,101,1,1102.000000
mar,102,3,496.000000
mar,102,0,400.000000
mar,102,2,100.000000
mar,102,0,622.000000
mar,103,0,1120.000000
mar,103,2,116.000000
mar,103,0,434.000000
mar,103,1,468.000000
mar,103,0,924.000000
mar,104,3,660.000000
mar,104,0,50.000000
mar,104,1,224.000000
mar,104,0,76.000000
mar,104,2,100.000000
mar,104,0,554.000000
mar,104,1,120.000000
mar,105,3,666.000000
mar,105,0,50.000000
mar,105,1,2204.000000
mar,106,3,648.000000
mar,106,0,1042.000000
mar,106,1,388.000000
mar,106,0,1158.000000
mar,107,3,490.000000
mar,107,0,48.000000
mar,107,1,234.000000
mar,107,0,640.000000
mar,108,3,702.000000
mar,108,0,168.000000
mar,108,1,220.000000
mar,108,0,562.000000
mar,109,3,504.000000
mar,109,0,48.000000
mar,109,1,398.000000
mar,109,0,228.000000
mar,109,2,288.000000
mar,109,0,324.000000
mar,109,1,270.000000
mar,110,3,686.000000
mar,110,0,52.000000
mar,110,1,842.000000
mar,111,3,488.000000
mar,111,0,50.000000
mar,111,1,290.000000
mar,111,0,830.000000
mar,112,3,716.000000
mar,112,0,48.000000
mar,112,1,320.000000
mar,112,0,524.000000
mar,113,3,688.000000
mar,113,0,48.000000
mar,113,1,346.000000
mar,113,0,602.000000
mar,114,3,544.000000
mar,114,0,56.000000
mar,114,1,416.000000
mar,114,0,606.000000
mar,115,3,710.000000
mar,115,0,50.000000
mar,115,1,340.000000
mar,115,0,78.000000
mar,115,2,112.000000
mar,115,0,784.000000
mar,115,1,638.000000
mar,115,0,844.000000
mar,116,3,512.000000
mar,116,0,46.000000
mar,116,1,366.000000
mar,116,0,908.000000
mar,117,3,500.000000
mar,117,0,50.000000
mar,117,1,454.000000
mar,117,0,972.000000
mar,117,2,162.000000
mar,118,3,456.000000
mar,118,0,46.000000
mar,118,1,466.000000
mar,118,0,244.000000
mar,119,3,494.000000
mar,119,0,46.000000
mar,119,1,320.000000
mar,119,0,78.000000
mar,119,2,394.000000
mar,119,0,210.000000
mar,119,1,446.000000
mar,120,3,656.000000
mar,120,0,48.000000
mar,120,1,226.000000
mar,120,0,614.000000
mar,121,3,666.000000
mar,121,0,630.000000
mar,121,2,2272.000000
mar,122,3,502.000000
mar,122,0,46.000000
mar,122,1,376.000000
mar,122,0,712.000000
mar,123,3,540.000000
mar,123,0,62.000000
mar,123,1,1254.000000
mar,124,3,756.000000
mar,124,0,242.000000
mar,124,1,1264.000000
mar,125,3,706.000000
mar,125,0,242.000000
mar,125,1,102.000000
mar,125,0,74.000000
mar,125,2,890.000000
mar,126,3,654.000000
mar,126,0,308.000000
mar,126,1,202.000000
mar,126,0,1002.000000
mar,127,3,574.000000
mar,127,0,48.000000
mar,127,1,168.000000
mar,127,0,582.000000
mar,128,3,638.000000
mar,128,0,404.000000
mar,128,2,156.000000
mar,128,0,576.000000
mar,128,1,882.000000
mar,129,3,690.000000
mar,129,0,382.000000
mar,129,2,296.000000
mar,129,0,164.000000
mar,130,3,686.000000
mar,130,0,50.000000
mar,130,1,230.000000
mar,130,0,76.000000
mar,130,2,276.000000
mar,130,0,154.000000
mar,131,3,620.000000
mar,131,0,1272.000000
mar,131,1,242.000000
mar,131,0,34.000000
mar,132,3,508.000000
mar,132,0,480.000000
mar,132,2,304.000000
mar,132,0,168.000000
mar,133,3,492.000000
mar,133,0,438.000000
mar,133,2,192.000000
mar,133,0,206.000000
mar,134,3,654.000000
mar,134,0,416.000000
mar,134,2,306.000000
mar,134,0,76.000000
mar,135,3,464.000000
mar,135,0,440.000000
mar,135,2,222.000000
mar,135,0,212.000000
mar,136,3,656.000000
mar,136,0,412.000000
mar,136,2,174.000000
mar,136,0,852.000000
mar,137,3,696.000000
mar,137,0,866.000000
mar,137,1,148.000000
mar,137,0,164.000000
mar,138,3,652.000000
mar,138,0,868.000000
mar,138,1,272.000000
mar,139,3,930.000000
mar,139,0,48.000000
mar,139,1,152.000000
mar,139,0,588.000000
mar,140,3,578.000000
mar,140,0,438.000000
mar,140,2,264.000000
mar,140,0,202.000000
mar,141,3,734.000000
mar,141,0,326.000000
mar,141,2,150.000000
mar,141,0,622.000000
mar,141,1,1094.000000
mar,141,0,456.000000
mar,142,3,964.000000
mar,142,0,364.000000
mar,142,2,202.000000
mar,142,0,438.000000
